run_date,run_timestamp,country,state,geo_scope,category,site_or_source,source_tier,item_key,product_name_raw,pack_size,pack_unit,price_ngn,unit_price_ngn,n_reports,url_or_ref,scrape_status,spec_json,channel,transaction_basis,sku
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Allinson's Country Grain Bread Flour 1 kg,1kg,kg,27200,,,https://www.supermart.ng/products/allinsons-country-grain-bread-flour-1-kg,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Allinson's Strong White Bread Flour 1 kg,1kg,kg,25660,,,https://www.supermart.ng/products/allinsons-strong-white-bread-flour-1-kg,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Allinson's Very Strong White Bread Flour 1 kg,1kg,kg,26220,,,https://www.supermart.ng/products/allinsons-very-strong-white-bread-flour-1-kg,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Allinson's Very Strong Wholemeal Bread Flour 1 kg,1kg,kg,26220,,,https://www.supermart.ng/products/allinsons-very-strong-wholemeal-bread-flour-1-kg,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,detergent,Alomo Bitters 75 cl,75cl,l,1835,,,https://www.supermart.ng/products/alomo-bitters-75-cl,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpen Muesli No Added Sugar 550 g,0.55,kg,21640,39345.45,,https://www.supermart.ng/products/alpen-muesli-no-added-sugar-550-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpen Muesli No Added Sugar 560 g,0.56,kg,2690,4803.57,,https://www.supermart.ng/products/alpen-muesli-no-added-sugar-560-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpen Muesli No Added Sugar 950 g,0.95,kg,31080,32715.79,,https://www.supermart.ng/products/alpen-muesli-no-added-sugar-950-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpen Swiss Style Muesli No Added Sugar 500 g,0.5,kg,2640,5280,,https://www.supermart.ng/products/alpen-swiss-style-muesli-no-added-sugar-500-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,sugar,Alpen Swiss Style Muesli No Added Sugar 550 g,0.55,kg,6290,11436.36,,https://www.supermart.ng/products/alpen-swiss-style-muesli-no-added-sugar-550-g,ok,,,,
